code;name
AAA;Audi South Africa made by Volkswagen of South Africa
AAK;FAW Vehicle Manufacturers SA (PTY) Ltd.
AAM;MAN Automotive (South Africa) (Pty) Ltd. (includes VW Truck & Bus)
AAP;VIN restamped by South African Police Service (so-called SAPVIN or AAPV number)
AAV;Volkswagen South Africa
AAW;Challenger Trailer Pty Ltd. (South Africa)
AA9/CN1;TR-Tec Pty Ltd. (South Africa)
ABJ;Mitsubishi Colt & Triton pickups made by Mercedes-Benz South Africa 1994–2011
ABJ;Mitsubishi Fuso made by Daimler Trucks & Buses Southern Africa
ABM;BMW Southern Africa
ACV;Isuzu Motors South Africa 2018-
AC5;[[../Hyundai/VIN Codes|Hyundai]] Automotive South Africa 
ADD;UD Trucks Southern Africa (Pty) Ltd.
ADM;General Motors South Africa (includes Isuzu through 2018)
ADN;Nissan South Africa (Pty) Ltd.
ADR;Renault Sandero made by Nissan South Africa (Pty) Ltd.
ADX;Tata Automobile Corporation (SA) Ltd.
AFA;Ford Motor Company of Southern Africa & Samcor
AFB;Mazda BT-50 made by Ford Motor Company of Southern Africa
AHH;Hino South Africa
AHM;Honda Ballade made by Mercedes-Benz South Africa 1982–2000
AHT;Toyota South Africa Motors (Pty.) Ltd.
BF9/;KIBO Motorcycles, Kenya
BUK;Kiira Motors Corporation, Uganda
BR1;Mercedes-Benz Algeria (SAFAV MB)
EBZ;Nizhekotrans (bus, Russia)
DF9/;Laraki (Morocco)
HA0;Wuxi Sundiro Electric Vehicle Co., Ltd. (Palla, Parray)
HA6;Niu Technologies
HA7;Jinan Qingqi KR Motors Co., Ltd.
HES;smart Automobile Co., Ltd. (Mercedes-Geely joint venture) 
HGL; Farizon Auto van (Geely)
HGX; Wuling Motors van (Geely)
HJR;Jetour (Chery)
HL4;Zhejiang Morini Vehicle Co., Ltd. <br />(Moto Morini subsidiary of Taizhou Zhongneng Motorcycle Co., Ltd.)
HRV;Beijing Henrey Automobile Technology Co., Ltd.
JAA;Isuzu truck
JAB;Isuzu car
JAC;Isuzu SUV
JAE;Acura SLX made by Isuzu
JAL;Isuzu commercial trucks & <br /> Chevrolet commercial trucks made by Isuzu 2016+ & <br /> Hino S-series truck made by Isuzu (Incomplete Vehicle)
JAM;Isuzu commercial trucks (Incomplete Vehicle)
JA3;Mitsubishi car (for North America)
JA4;Mitsubishi MPV/SUV (for North America)
JA7;Mitsubishi truck (for North America)
JB3;Dodge car made by Mitsubishi Motors
JB4;Dodge MPV/SUV made by Mitsubishi Motors
JB7;Dodge truck made by Mitsubishi Motors
JC0;Ford brand cars made by Mazda
JC1;Fiat 124 Spider made by Mazda
JC2;Ford Courier made by Mazda
JDA;Daihatsu
JD1;Daihatsu car
JD2;Daihatsu SUV
JD4;Daihatsu truck
JE3;Eagle car made by Mitsubishi Motors
JE4;Mitsubishi Motors
JF1;([[../Subaru/VIN Codes|Subaru]]) car
JF2;([[../Subaru/VIN Codes|Subaru]]) SUV
JF3;([[../Subaru/VIN Codes|Subaru]]) truck
JF4;Saab 9-2X made by Subaru
JG1;Chevrolet/Geo car made by Suzuki
JG2;Pontiac car made by Suzuki
JG7;Pontiac/Asuna car made by Suzuki for GM Canada
JGC;Chevrolet/Geo SUV made by Suzuki (classified as a truck)
JGT;GMC SUV made by Suzuki for GM Canada (classified as a truck)
JHA;Hino truck
JHB;Hino incomplete vehicle
JHD;Hino
JHF;Hino
JHH;Hino incomplete vehicle
JHF-JHG;[[../Honda/VIN Codes|Honda]]
JHL-JHN;[[../Honda/VIN Codes|Honda]]
JHZ;[[../Honda/VIN Codes|Honda]]
JH1-JH5;[[../Honda/VIN Codes|Honda]]
JHL;[[../Honda/VIN Codes|Honda]] MPV/SUV
JHM;[[../Honda/VIN Codes|Honda]] car
JH1;[[../Honda/VIN Codes|Honda]] truck
JH2;[[../Honda/VIN Codes|Honda]] motorcycle/ATV
JH3;[[../Honda/VIN Codes|Honda]] ATV
JH4;Acura car
JH6;Hino incomplete vehicle
JJ3;Chrysler brand car made by Mitsubishi Motors
JKA;Kawasaki (motorcycles)
JKB;Kawasaki (motorcycles)
JKS;Suzuki Marauder 1600/Boulevard M95 motorcycle made by Kawasaki
JK8;Suzuki QUV620F UTV made by Kawasaki
JLF;Mitsubishi Fuso Truck & Bus Corp.
JLS;Sterling Truck 360 made by Mitsubishi Fuso Truck & Bus Corp.
JL5;Mitsubishi Fuso Truck & Bus Corp.
JL6;Mitsubishi Fuso Truck & Bus Corp.
JMA;Mitsubishi Motors (right-hand drive) for Europe
JMB;Mitsubishi Motors (left-hand drive) for Europe
JMF;Mitsubishi Motors (including Mitsubishi Express made by Renault)
JMP;Mitsubishi Motors (left-hand drive)
JMR;Mitsubishi Motors (right-hand drive)
JMY;Mitsubishi Motors (left-hand drive) for South America & Middle East
JMZ;Mazda for Europe export
JM0;Mazda for Oceania export
JM1;Mazda car
JM2;Mazda truck
JM3;Mazda MPV/SUV
JM4;Mazda
JM6;Mazda
JM7;Mazda
JNA;Nissan Diesel/UD Trucks incomplete vehicle
JNC;Nissan Diesel/UD Trucks
JNE;Nissan Diesel/UD Trucks truck
JNK;Infiniti car
JNR;Infiniti SUV
JNX;Infiniti incomplete vehicle
JN1;Nissan car & Infiniti car
JN3;Nissan incomplete vehicle
JN6;Nissan truck/van & Mitsubishi Fuso Canter Van
JN8;Nissan MPV/SUV & Infiniti SUV
JPC;Nissan Diesel/UD Trucks
JP3;Plymouth car made by Mitsubishi Motors
JP4;Plymouth MPV/SUV made by Mitsubishi Motors
JP7;Plymouth truck made by Mitsubishi Motors
JR2;Isuzu Oasis made by Honda
JSA;Suzuki ATV & '03 Kawasaki KFX400 ATV made by Suzuki, Suzuki car/SUV (outside N. America)
